LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
"Badakhshan, Afghanistan",AFG,Afghanistan,Badakhshan,South Asia,0.387,"(36.7347725, 70.81199529999999)",36.7347725,70.81199529999998
"Badghis, Afghanistan",AFG,Afghanistan,Badghis,South Asia,0.466,"(35.1671339, 63.7695384)",35.1671339,63.7695384
"Baghlan, Afghanistan",AFG,Afghanistan,Baghlan,South Asia,0.3,"(35.8042947, 69.2877535)",35.80429470000001,69.28775350000001
"Balkh, Afghanistan",AFG,Afghanistan,Balkh,South Asia,0.301,"(36.7550603, 66.8975372)",36.7550603,66.8975372
"Bamyan, Afghanistan",AFG,Afghanistan,Bamyan,South Asia,0.325,"(34.8100067, 67.8212104)",34.8100067,67.8212104
"Daykundi, Afghanistan",AFG,Afghanistan,Daykundi,South Asia,0.313,"(33.669495, 66.0463534)",33.669495,66.0463534
"Farah, Afghanistan",AFG,Afghanistan,Farah,South Asia,0.319,"(32.4464635, 62.1454133)",32.4464635,62.1454133
"Faryab, Afghanistan",AFG,Afghanistan,Faryab,South Asia,0.25,"(36.0795613, 64.90595499999999)",36.0795613,64.90595499999999
"Ghazni, Afghanistan",AFG,Afghanistan,Ghazni,South Asia,0.245,"(33.5450587, 68.4173972)",33.5450587,68.41739720000001
"Ghor, Afghanistan",AFG,Afghanistan,Ghor,South Asia,0.384,"(34.0995776, 64.90595499999999)",34.0995776,64.90595499999999
"Helmand, Afghanistan",AFG,Afghanistan,Helmand,South Asia,0.261,"(31.3636474, 63.95861110000001)",31.3636474,63.95861110000001
"Herat, Afghanistan",AFG,Afghanistan,Herat,South Asia,0.353,"(11.6155109, 104.3791912)",11.6155109,104.3791912
"Jawzjan, Afghanistan",AFG,Afghanistan,Jawzjan,South Asia,0.293,"(36.8969692, 65.6658568)",36.8969692,65.6658568
"Kabul, Afghanistan",AFG,Afghanistan,Kabul,South Asia,0.11699999999999999,"(34.5553494, 69.207486)",34.5553494,69.207486
"Kandahar, Afghanistan",AFG,Afghanistan,Kandahar,South Asia,0.4370000000000001,"(31.628871, 65.7371749)",31.628871000000004,65.7371749
"Kapisa, Afghanistan",AFG,Afghanistan,Kapisa,South Asia,0.28,"(34.9810572, 69.6214562)",34.9810572,69.6214562
"Khost, Afghanistan",AFG,Afghanistan,Khost,South Asia,0.29600000000000004,"(33.3338472, 69.9371673)",33.3338472,69.9371673
"Kunarha, Afghanistan",AFG,Afghanistan,Kunarha,South Asia,0.26899999999999996,"(34.8465893, 71.097317)",34.8465893,71.097317
"Kunduz, Afghanistan",AFG,Afghanistan,Kunduz,South Asia,0.294,"(36.7285907, 68.8680663)",36.7285907,68.8680663
"Laghman, Afghanistan",AFG,Afghanistan,Laghman,South Asia,0.369,"(34.6897687, 70.1455805)",34.6897687,70.14558050000001
"Logar, Afghanistan",AFG,Afghanistan,Logar,South Asia,0.187,"(34.0145518, 69.1923916)",34.0145518,69.1923916
"Nangarhar, Afghanistan",AFG,Afghanistan,Nangarhar,South Asia,0.287,"(34.1718313, 70.6216794)",34.171831299999994,70.6216794
"Nimroz, Afghanistan",AFG,Afghanistan,Nimroz,South Asia,0.231,"(31.0261488, 62.4504154)",31.0261488,62.4504154
"Nooristan, Afghanistan",AFG,Afghanistan,Nooristan,South Asia,0.611,"(35.3250223, 70.90712359999999)",35.3250223,70.90712359999998
"Paktika, Afghanistan",AFG,Afghanistan,Paktika,South Asia,0.13699999999999998,"(32.2645386, 68.52471489999999)",32.2645386,68.52471489999999
"Paktya, Afghanistan",AFG,Afghanistan,Paktya,South Asia,0.218,"(33.706199, 69.3831079)",33.706199,69.3831079
"Panjsher, Afghanistan",AFG,Afghanistan,Panjsher,South Asia,0.12,"(35.5025772, 69.9550338)",35.50257720000001,69.9550338
"Parwan, Afghanistan",AFG,Afghanistan,Parwan,South Asia,0.294,"(34.9630977, 68.81088489999999)",34.9630977,68.81088489999999
"Samangan, Afghanistan",AFG,Afghanistan,Samangan,South Asia,0.35,"(35.9807296, 67.57085359999999)",35.98072960000001,67.57085359999999
"Sar-E-Pul, Afghanistan",AFG,Afghanistan,Sar-E-Pul,South Asia,0.341,"(35.6707473, 66.0463534)",35.6707473,66.0463534
"Takhar, Afghanistan",AFG,Afghanistan,Takhar,South Asia,0.361,"(36.6698013, 69.4784541)",36.6698013,69.4784541
"Urozgan, Afghanistan",AFG,Afghanistan,Urozgan,South Asia,0.624,"(32.9271287, 66.1415263)",32.927128700000004,66.1415263
"Wardak, Afghanistan",AFG,Afghanistan,Wardak,South Asia,0.34,"(34.3513494, 68.2385339)",34.351349400000004,68.23853390000001
"Zabul, Afghanistan",AFG,Afghanistan,Zabul,South Asia,0.175,"(32.1918782, 67.1894488)",32.1918782,67.18944880000001
,ALB,Albania,,Europe and Central Asia,,"(1000.0, 1000.0)",,
,ARM,Armenia,,Europe and Central Asia,,"(1000.0, 1000.0)",,
,AZE,Azerbaijan,,Europe and Central Asia,,"(1000.0, 1000.0)",,
"Bujumbura Mairie, Burundi",BDI,Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.16399999999999998,"(-3.4146958, 29.3598782)",-3.4146958,29.3598782
"Nord, Burundi",BDI,Burundi,Nord,Sub-Saharan Africa,0.501,"(-3.373056, 29.918886)",-3.373056,29.918886
"Centre-Est, Burundi",BDI,Burundi,Centre-Est,Sub-Saharan Africa,0.473,"(9.0630743, 7.464915)",9.0630743,7.464914999999999
"Ouest, Burundi",BDI,Burundi,Ouest,Sub-Saharan Africa,0.499,"(-3.373056, 29.918886)",-3.373056,29.918886
"Sud, Burundi",BDI,Burundi,Sud,Sub-Saharan Africa,0.42200000000000004,"(14.6090537, 121.0222565)",14.6090537,121.0222565
"Alibori, Benin",BEN,Benin,Alibori,Sub-Saharan Africa,0.528,"(10.9681093, 2.7779813)",10.9681093,2.7779813
"Atacora, Benin",BEN,Benin,Atacora,Sub-Saharan Africa,0.45399999999999996,"(10.7954931, 1.6760691)",10.7954931,1.6760691000000003
"Atlantique, Benin",BEN,Benin,Atlantique,Sub-Saharan Africa,0.278,"(6.6588391, 2.2236667)",6.658839100000002,2.2236667000000003
"Borgou, Benin",BEN,Benin,Borgou,Sub-Saharan Africa,0.35100000000000003,"(9.5340864, 2.7779813)",9.5340864,2.7779813
"Collines, Benin",BEN,Benin,Collines,Sub-Saharan Africa,0.292,"(13.718252, -2.302446)",13.718252,-2.302446
"Couffo, Benin",BEN,Benin,Couffo,Sub-Saharan Africa,0.345,"(7.003589400000001, 1.7538817)",7.003589400000001,1.7538817
"Donga, Benin",BEN,Benin,Donga,Sub-Saharan Africa,0.335,"(9.7191867, 1.6760691)",9.7191867,1.6760691000000003
"Littoral, Benin",BEN,Benin,Littoral,Sub-Saharan Africa,0.083,"(6.3806973, 2.4406387)",6.3806973,2.4406387
"Mono, Benin",BEN,Benin,Mono,Sub-Saharan Africa,0.259,"(6.6607182, 1.7538817)",6.6607182,1.7538817
"Ouðmð, Benin",BEN,Benin,Ouðmð,Sub-Saharan Africa,0.23800000000000002,"(1000.0, 1000.0)",,
"Plateau, Benin",BEN,Benin,Plateau,Sub-Saharan Africa,0.34700000000000003,"(7.3445141, 2.539603)",7.3445141,2.539603
"Zou, Benin",BEN,Benin,Zou,Sub-Saharan Africa,0.33399999999999996,"(7.346926799999999, 2.0665197)",7.3469267999999985,2.0665197
"Boucle de mouhoun, Burkina Faso",BFA,Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.591,"(8.8556838, 7.179025999999999)",8.8556838,7.179025999999999
"Cascades, Burkina Faso",BFA,Burkina Faso,Cascades,Sub-Saharan Africa,0.493,"(10.4072992, -4.5624426)",10.4072992,-4.5624426
"Centre, Burkina Faso",BFA,Burkina Faso,Centre,Sub-Saharan Africa,0.207,"(12.3425897, -1.443469)",12.3425897,-1.443469
"Centre-est, Burkina Faso",BFA,Burkina Faso,Centre-est,Sub-Saharan Africa,0.58,"(11.5247674, -0.1494988)",11.5247674,-0.1494988
"Centre-nord, Burkina Faso",BFA,Burkina Faso,Centre-nord,Sub-Saharan Africa,0.575,"(13.1724464, -0.9056623)",13.1724464,-0.9056623
"Centre-ouest, Burkina Faso",BFA,Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.5539999999999999,"(11.8798466, -2.302446)",11.8798466,-2.302446
"Centre-sud, Burkina Faso",BFA,Burkina Faso,Centre-sud,Sub-Saharan Africa,0.513,"(11.5228911, -1.0586135)",11.5228911,-1.0586135
"Est, Burkina Faso",BFA,Burkina Faso,Est,Sub-Saharan Africa,0.698,"(12.4365526, 0.9056623)",12.4365526,0.9056623
"Hauts basins, Burkina Faso",BFA,Burkina Faso,Hauts basins,Sub-Saharan Africa,0.45899999999999996,"(11.4942003, -4.2333355)",11.4942003,-4.2333355
"Nord, Burkina Faso",BFA,Burkina Faso,Nord,Sub-Saharan Africa,0.581,"(1000.0, 1000.0)",,
"Plateau central, Burkina Faso",BFA,Burkina Faso,Plateau central,Sub-Saharan Africa,0.524,"(12.2537648, -0.7532808999999999)",12.2537648,-0.7532808999999999
"Sahel, Burkina Faso",BFA,Burkina Faso,Sahel,Sub-Saharan Africa,0.69,"(14.1000865, -0.1494988)",14.1000865,-0.1494988
"Sud-ouest, Burkina Faso",BFA,Burkina Faso,Sud-ouest,Sub-Saharan Africa,0.655,"(10.4231493, -3.2583626)",10.4231493,-3.2583626
"Barisal, Bangladesh",BGD,Bangladesh,Barisal,South Asia,0.22399999999999998,"(22.7029212, 90.3465971)",22.7029212,90.3465971
"Chittagong, Bangladesh",BGD,Bangladesh,Chittagong,South Asia,0.18600000000000005,"(22.3475365, 91.8123324)",22.3475365,91.8123324
"Dhaka, Bangladesh",BGD,Bangladesh,Dhaka,South Asia,0.174,"(23.810332, 90.4125181)",23.810332,90.4125181
"Khulna, Bangladesh",BGD,Bangladesh,Khulna,South Asia,0.156,"(22.845641, 89.5403279)",22.845641,89.54032790000002
"Rajshahi, Bangladesh",BGD,Bangladesh,Rajshahi,South Asia,0.192,"(24.3635886, 88.62413509999999)",24.363588600000003,88.62413509999998
"Rangpur, Bangladesh",BGD,Bangladesh,Rangpur,South Asia,0.20600000000000002,"(25.7438916, 89.275227)",25.7438916,89.275227
"Sylhet, Bangladesh",BGD,Bangladesh,Sylhet,South Asia,0.32,"(24.904539, 91.8611011)",24.904539,91.8611011
,BIH,Bosnia and Herzegovina,,Europe and Central Asia,,"(1000.0, 1000.0)",,
"Corozal, Belize",BLZ,Belize,Corozal,Latin America and Caribbean,0.026000000000000002,"(18.4030802, -88.3967536)",18.4030802,-88.3967536
"Orange Walk, Belize",BLZ,Belize,Orange Walk,Latin America and Caribbean,0.019,"(18.0842472, -88.5710266)",18.0842472,-88.5710266
"Belize (excluding Belize City South Side), Belize",BLZ,Belize,Belize (excluding Belize City South Side),Latin America and Caribbean,0.005,"(30.7326622, 31.7195459)",30.7326622,31.7195459
"Stann Creek, Belize",BLZ,Belize,Stann Creek,Latin America and Caribbean,0.013000000000000001,"(16.8116631, -88.4016041)",16.811663100000004,-88.4016041
"Toledo, Belize",BLZ,Belize,Toledo,Latin America and Caribbean,0.019,"(16.2491923, -88.86469799999999)",16.2491923,-88.86469799999998
"Cayo, Belize",BLZ,Belize,Cayo,Latin America and Caribbean,0.054000000000000006,"(17.0984445, -88.94138650000001)",17.0984445,-88.94138650000002
"Belize City South Side, Belize",BLZ,Belize,Belize City South Side,Latin America and Caribbean,0.005,"(17.4891317, -88.188656)",17.489131699999998,-88.18865600000002
"Chuquisaca, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Chuquisaca,Latin America and Caribbean,0.145,"(-20.0249144, -64.1478236)",-20.0249144,-64.14782360000001
"La Paz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",La Paz,Latin America and Caribbean,0.077,"(-16.489689, -68.11929359999999)",-16.489689000000002,-68.11929359999999
"Cochabamba, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Cochabamba,Latin America and Caribbean,0.105,"(-17.4139766, -66.1653224)",-17.4139766,-66.1653224
"Oruro, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Oruro,Latin America and Caribbean,0.073,"(26.9373041, 90.4879916)",26.9373041,90.4879916
"Potosð, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Potosð,Latin America and Caribbean,0.168,"(1000.0, 1000.0)",,
"Tarija, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Tarija,Latin America and Caribbean,0.081,"(-21.5213825, -64.7280952)",-21.5213825,-64.7280952
"Santa Cruz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Santa Cruz,Latin America and Caribbean,0.043,"(-17.8145819, -63.1560853)",-17.8145819,-63.1560853
"Beni, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Beni,Latin America and Caribbean,0.099,"(-14.3782747, -65.0957792)",-14.3782747,-65.0957792
"Pando, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Pando,Latin America and Caribbean,0.087,"(-10.7988901, -66.9988011)",-10.7988901,-66.99880110000001
"Acre, Brazil",BRA,Brazil,Acre,Latin America and Caribbean,0.07200000000000001,"(-9.0237964, -70.81199529999999)",-9.0237964,-70.81199529999998
"Alagoas, Brazil",BRA,Brazil,Alagoas,Latin America and Caribbean,0.042,"(-9.5713058, -36.7819505)",-9.5713058,-36.7819505
"Amapð, Brazil",BRA,Brazil,Amapð,Latin America and Caribbean,0.022000000000000002,"(1000.0, 1000.0)",,
"Amazonas, Brazil",BRA,Brazil,Amazonas,Latin America and Caribbean,0.044000000000000004,"(-3.4168427, -65.8560646)",-3.4168427,-65.85606460000001
"Bahia, Brazil",BRA,Brazil,Bahia,Latin America and Caribbean,0.028999999999999998,"(-12.579738, -41.7007272)",-12.579738,-41.7007272
"Cearð, Brazil",BRA,Brazil,Cearð,Latin America and Caribbean,0.028999999999999998,"(-21.3223397, -46.36941789999999)",-21.3223397,-46.36941789999999
"Distrito Federal, Brazil",BRA,Brazil,Distrito Federal,Latin America and Caribbean,0.008,"(-15.7997654, -47.8644715)",-15.7997654,-47.8644715
"Espðrito Santo, Brazil",BRA,Brazil,Espðrito Santo,Latin America and Caribbean,0.018000000000000002,"(1000.0, 1000.0)",,
"Goiðs, Brazil",BRA,Brazil,Goiðs,Latin America and Caribbean,0.017,"(1000.0, 1000.0)",,
"Maranhðo, Brazil",BRA,Brazil,Maranhðo,Latin America and Caribbean,0.046,"(-8.722408399999999, 125.5712576)",-8.722408399999999,125.57125759999998
"Mato Grosso, Brazil",BRA,Brazil,Mato Grosso,Latin America and Caribbean,0.019,"(-12.6818712, -56.921099)",-12.6818712,-56.921099
"Mato Grosso do Sul, Brazil",BRA,Brazil,Mato Grosso do Sul,Latin America and Caribbean,0.019,"(-20.7722295, -54.7851531)",-20.7722295,-54.7851531
"Minas Gerais, Brazil",BRA,Brazil,Minas Gerais,Latin America and Caribbean,0.021,"(-18.512178, -44.5550308)",-18.512178,-44.5550308
"Paranð, Brazil",BRA,Brazil,Paranð,Latin America and Caribbean,0.016,"(1000.0, 1000.0)",,
"Paraðba, Brazil",BRA,Brazil,Paraðba,Latin America and Caribbean,0.032,"(1000.0, 1000.0)",,
"Parð, Brazil",BRA,Brazil,Parð,Latin America and Caribbean,0.035,"(1000.0, 1000.0)",,
"Pernambuco, Brazil",BRA,Brazil,Pernambuco,Latin America and Caribbean,0.027000000000000003,"(-8.8137173, -36.954107)",-8.8137173,-36.954107
"Piauð, Brazil",BRA,Brazil,Piauð,Latin America and Caribbean,0.039,"(1000.0, 1000.0)",,
"Rio Grande do Norte, Brazil",BRA,Brazil,Rio Grande do Norte,Latin America and Caribbean,0.03,"(-5.402580299999999, -36.954107)",-5.402580299999999,-36.954107
"Rio Grande do Sul, Brazil",BRA,Brazil,Rio Grande do Sul,Latin America and Caribbean,0.012,"(-30.0346316, -51.2176986)",-30.0346316,-51.21769860000001
"Rio de Janeiro, Brazil",BRA,Brazil,Rio de Janeiro,Latin America and Caribbean,0.011000000000000001,"(-22.9068467, -43.1728965)",-22.9068467,-43.1728965
"Rondðnia, Brazil",BRA,Brazil,Rondðnia,Latin America and Caribbean,0.024,"(-17.8251657, 31.03351)",-17.8251657,31.03351
"Roraima, Brazil",BRA,Brazil,Roraima,Latin America and Caribbean,0.028999999999999998,"(2.7375971, -62.0750998)",2.7375971000000003,-62.0750998
"Santa Catarina, Brazil",BRA,Brazil,Santa Catarina,Latin America and Caribbean,0.019,"(-27.2423392, -50.2188556)",-27.2423392,-50.21885560000001
"Sergipe, Brazil",BRA,Brazil,Sergipe,Latin America and Caribbean,0.034,"(-10.5740934, -37.3856581)",-10.5740934,-37.3856581
"Sðo Paulo, Brazil",BRA,Brazil,Sðo Paulo,Latin America and Caribbean,0.012,"(-23.5671844, -46.7387185)",-23.5671844,-46.7387185
"Tocantins, Brazil",BRA,Brazil,Tocantins,Latin America and Caribbean,0.03,"(-10.17528, -48.2982474)",-10.17528,-48.2982474
,BRB,Barbados,,Latin America and Caribbean,,"(1000.0, 1000.0)",,
"Bumthang, Bhutan",BTN,Bhutan,Bumthang,South Asia,0.042,"(27.641839, 90.6773046)",27.641839,90.6773046
"Chukha, Bhutan",BTN,Bhutan,Chukha,South Asia,0.121,"(27.0784304, 89.4742177)",27.0784304,89.4742177
"Dagana, Bhutan",BTN,Bhutan,Dagana,South Asia,0.222,"(27.0322861, 89.8879304)",27.032286100000004,89.8879304
"Haa, Bhutan",BTN,Bhutan,Haa,South Asia,0.059000000000000004,"(27.2651669, 89.1705998)",27.2651669,89.1705998
"Lhuntse, Bhutan",BTN,Bhutan,Lhuntse,South Asia,0.151,"(27.8264989, 91.13530200000001)",27.8264989,91.135302
"Mongar, Bhutan",BTN,Bhutan,Mongar,South Asia,0.165,"(27.2617059, 91.28910359999999)",27.261705900000006,91.28910359999999
"Paro, Bhutan",BTN,Bhutan,Paro,South Asia,0.026000000000000002,"(27.428684, 89.41636539999999)",27.428684000000004,89.41636539999998
"Pemagatshel, Bhutan",BTN,Bhutan,Pemagatshel,South Asia,0.128,"(27.98785, 86.9250261)",27.98785,86.9250261
"Punakha, Bhutan",BTN,Bhutan,Punakha,South Asia,0.08800000000000001,"(27.5920869, 89.87974589999999)",27.5920869,89.87974589999996
"Samdrup Jongkhar, Bhutan",BTN,Bhutan,Samdrup Jongkhar,South Asia,0.149,"(26.8035682, 91.5039207)",26.8035682,91.5039207
"Samtse, Bhutan",BTN,Bhutan,Samtse,South Asia,0.19699999999999998,"(27.0291832, 89.0561532)",27.0291832,89.0561532
"Sarpang, Bhutan",BTN,Bhutan,Sarpang,South Asia,0.102,"(-2.5546618, 29.6035495)",-2.5546618,29.6035495
"Thimphu, Bhutan",BTN,Bhutan,Thimphu,South Asia,0.016,"(27.4727924, 89.6392863)",27.4727924,89.6392863
"Trashigang, Bhutan",BTN,Bhutan,Trashigang,South Asia,0.132,"(27.3325014, 91.55234349999999)",27.3325014,91.5523435
"Trashiyangtse, Bhutan",BTN,Bhutan,Trashiyangtse,South Asia,0.121,"(-20.3446313, 44.7006138)",-20.3446313,44.7006138
"Trongsa, Bhutan",BTN,Bhutan,Trongsa,South Asia,0.14800000000000002,"(27.5002269, 90.5080634)",27.5002269,90.5080634
"Tsirang, Bhutan",BTN,Bhutan,Tsirang,South Asia,0.196,"(27.032207, 90.1869644)",27.032207,90.1869644
"Wangdi, Bhutan",BTN,Bhutan,Wangdi,South Asia,0.099,"(27.4879018, 89.8996196)",27.4879018,89.8996196
"Zhemgang, Bhutan",BTN,Bhutan,Zhemgang,South Asia,0.184,"(27.076975, 90.8294002)",27.076975,90.8294002
"Ombella-M'poko, Central African Republic",CAF,Central African Republic,Ombella-M'poko,Sub-Saharan Africa,0.40299999999999997,"(5.1188825, 18.4276047)",5.1188825,18.4276047
"Lobaye, Central African Republic",CAF,Central African Republic,Lobaye,Sub-Saharan Africa,0.494,"(4.3525981, 17.4795173)",4.3525981,17.4795173
